1.8308,9.6192
1.8308,9.5846
1.8077,9.3077
1.7615,9.0308
1.7846,8.8231
1.8077,8.5462
1.8308,8.1308
1.8769,7.6808
1.9,7.2654
1.9231,7.0231
1.9462,6.9885
1.8769,9.6885
1.9923,9.6538
2.2692,9.55
2.4308,9.4808
2.5923,9.3423
2.6846,9.1692
2.8462,8.8923
2.9385,8.6154
3.0077,8.2346
3.0308,7.9923
3.0538,7.7154
3.0308,7.5077
2.9615,7.3
2.9154,7.1269
2.8462,7.0231
2.7538,6.9192
2.5923,6.8846
2.4077,6.8154
2.2462,6.7808
2.0154,6.7462
1.9462,6.7462
3.4923,6.9885
3.4923,6.9885
3.5154,7.2654
3.5154,7.4385
3.5846,7.7154
3.7,7.9577
3.8154,8.2692
3.9308,8.5808
4.0231,8.8231
4.1154,9.0308
4.2538,9.3423
4.2538,9.4462
4.2769,9.55
4.3462,9.5154
4.4154,9.4115
4.4846,9.2385
4.4846,9.0654
4.5077,8.7192
4.5308,8.2346
4.6,7.75
4.6692,7.4385
4.7385,7.1269
4.8077,6.9192
3.8154,8.0269
3.8846,8.0269
4.1154,7.9923
4.1846,7.9923
4.3692,7.9923
4.4615,7.9923
4.5769,8.0962
4.6,7.9231
4.5538,8.5462
4.5538,8.6846
5.8,9.3769
5.8,9.2731
5.7769,9.0308
5.7769,8.7538
5.7769,8.5115
5.7769,8.1654
5.7538,7.75
5.7538,7.5077
5.7538,7.2308
5.7769,6.9538
5.8,6.8154
5.0846,9.55
5.1769,9.4808
5.4077,9.4462
5.5,9.4462
5.6615,9.4462
5.8692,9.4115
6.0538,9.3769
6.2154,9.3423
6.4,9.3077
6.5615,9.2731
6.6769,9.2731
6.9077,6.8846
6.9538,6.9538
7.0231,7.1615
7.0923,7.3346
7.1615,7.5423
7.2308,7.7154
7.3,7.9231
7.3692,8.1308
7.4615,8.3731
7.6,8.6154
7.6923,8.8923
7.7385,8.9962
7.8308,9.2038
7.9231,9.1346
7.9923,8.9269
8.0385,8.7538
8.0615,8.5115
8.0846,8.2
8.2231,7.7154
8.2692,7.5769
8.3385,7.3
8.4538,6.6077
8.4538,6.6077
8.4308,6.9192
8.4077,7.0923
8.4077,7.1962
8.3846,7.4731
8.3154,7.75
8.2,7.9577
8.0846,8.1654
7.2769,7.7846
7.4385,7.7846
7.5538,7.7846
7.6462,7.75
7.7615,7.7154
7.8769,7.7154
8.0385,7.6808
8.0846,7.6808
3.5615,3.3192
3.5846,3.1462
3.6308,2.9038
3.6538,2.5577
3.6308,2.1769
3.6308,2.0038
3.6308,1.8308
3.6308,1.8308
3.6308,1.8308
3.6769,2.1769
3.6538,2.3154
3.6538,2.5231
3.6538,2.8346
3.6769,3.0769
3.6769,3.2846
3.6769,3.5269
3.8615,3.4577
4.1385,3.2846
4.2077,3.1808
4.2769,3.0423
4.3462,2.8346
4.3462,2.6269
4.3231,2.4538
4.2538,2.2115
4.1846,2.0731
4.0923,2.0038
4.0923,2.0038
4.0923,2.0038
3.7,1.7962
3.9308,1.9
3.9769,1.9346
4.0462,2.0038
4,3.4231
4.0231,3.3192
3.7923,1.8654
4.5077,2.5923
4.5538,2.3846
4.5538,2.1769
4.5769,2.0038
4.6462,1.7962
4.6462,1.5885
4.7154,1.5885
4.7615,1.6923
4.8077,1.8654
4.8308,2.0038
4.8769,2.1077
4.9,2.1769
4.9462,2.3154
4.9692,2.4192
5.0385,2.5231
5.0846,2.6269
6.1,3.9769
6.0077,3.9423
5.8462,3.7692
5.7769,3.6654
5.6154,3.4231
5.5692,3.25
5.5,3.0077
5.4308,2.7654
5.4308,2.4192
5.4769,2.1769
